Team,Team Name,League,Year,Games,Wins,Home Runs,RS,RA,OBP,SLG,BA,Playoffs,PlayoffsFinish
DET,Detroit Tigers,AL,2002,161,55,,575,864,0.3,0.379,0.248,No,
FLA,Florida Marlins,NL,2002,162,79,,699,763,0.337,0.403,0.261,No,
HOU,Houston Astros,NL,2002,162,84,,749,695,0.338,0.417,0.262,No,
KCR,Kansas City Royals,AL,2002,162,62,,737,891,0.323,0.398,0.256,No,
LAD,Los Angeles Dodgers,NL,2002,162,92,,713,643,0.32,0.409,0.264,No,
MIL,Milwaukee Brewers,NL,2002,162,56,,627,821,0.32,0.39,0.253,No,
MIN,Minnesota Twins,AL,2002,161,94,,768,712,0.332,0.437,0.272,Yes,3.0
MON,Montreal Expos,NL,2002,162,83,,735,718,0.334,0.418,0.261,No,
NYM,New York Mets,NL,2002,161,75,,690,703,0.322,0.395,0.256,No,
NYY,New York Yankees,AL,2002,161,103,,897,697,0.354,0.455,0.275,Yes,4.0
OAK,Oakland Athletics,AL,2002,162,103,,800,654,0.339,0.432,0.261,Yes,4.0
PHI,Philadelphia Phillies,NL,2002,161,80,,710,724,0.339,0.422,0.259,No,
PIT,Pittsburgh Pirates,NL,2002,161,72,,641,730,0.319,0.381,0.244,No,
SDP,San Diego Padres,NL,2002,162,66,,662,815,0.321,0.381,0.253,No,
SEA,Seattle Mariners,AL,2002,162,93,,814,699,0.35,0.419,0.275,No,
SFG,San Francisco Giants,NL,2002,162,95,,783,616,0.344,0.442,0.267,Yes,2.0
STL,St. Louis Cardinals,NL,2002,162,97,,787,648,0.338,0.425,0.268,Yes,3.0
TBD,Tampa Bay Devil Rays,AL,2002,161,55,,673,918,0.314,0.39,0.253,No,
TEX,Texas Rangers,AL,2002,162,72,,843,882,0.338,0.455,0.269,No,
TOR,Toronto Blue Jays,AL,2002,162,78,,813,828,0.327,0.43,0.261,No,
ANA,Anaheim Angels,AL,2001,162,75,,691,730,0.327,0.405,0.261,No,
ARI,Arizona Diamondbacks,NL,2001,162,92,,818,677,0.341,0.442,0.267,Yes,1.0
ATL,Atlanta Braves,NL,2001,162,88,,729,643,0.324,0.412,0.26,Yes,3.0
BAL,Baltimore Orioles,AL,2001,162,63,,687,829,0.319,0.38,0.248,No,
BOS,Boston Red Sox,AL,2001,161,82,,772,745,0.334,0.439,0.266,No,
CHC,Chicago Cubs,NL,2001,162,88,,777,701,0.336,0.43,0.261,No,
CHW,Chicago White Sox,AL,2001,162,83,,798,795,0.334,0.451,0.268,No,
CIN,Cincinnati Reds,NL,2001,162,66,,735,850,0.324,0.419,0.262,No,
CLE,Cleveland Indians,AL,2001,162,91,,897,821,0.35,0.458,0.278,Yes,4.0
COL,Colorado Rockies,NL,2001,162,73,,923,906,0.354,0.483,0.292,No,
DET,Detroit Tigers,AL,2001,162,66,,724,876,0.32,0.409,0.26,No,
FLA,Florida Marlins,NL,2001,162,76,,742,744,0.326,0.423,0.264,No,
HOU,Houston Astros,NL,2001,162,93,,847,769,0.347,0.451,0.271,Yes,4.0
KCR,Kansas City Royals,AL,2001,162,65,,729,858,0.318,0.409,0.266,No,
LAD,Los Angeles Dodgers,NL,2001,162,86,,758,744,0.323,0.425,0.255,No,
MIL,Milwaukee Brewers,NL,2001,162,68,,740,806,0.319,0.426,0.251,No,
MIN,Minnesota Twins,AL,2001,162,85,,771,766,0.337,0.433,0.272,No,
MON,Montreal Expos,NL,2001,162,68,,670,812,0.319,0.396,0.253,No,
NYM,New York Mets,NL,2001,162,82,,642,713,0.323,0.387,0.249,No,
NYY,New York Yankees,AL,2001,161,95,,804,713,0.334,0.435,0.267,Yes,2.0
OAK,Oakland Athletics,AL,2001,162,102,,884,645,0.345,0.439,0.264,Yes,4.0
PHI,Philadelphia Phillies,NL,2001,162,86,,746,719,0.329,0.414,0.26,No,
PIT,Pittsburgh Pirates,NL,2001,162,62,,657,858,0.313,0.393,0.247,No,
SDP,San Diego Padres,NL,2001,162,79,,789,812,0.336,0.399,0.252,No,
SEA,Seattle Mariners,AL,2001,162,116,,927,627,0.36,0.445,0.288,Yes,3.0
SFG,San Francisco Giants,NL,2001,162,90,,799,748,0.342,0.46,0.266,No,
STL,St. Louis Cardinals,NL,2001,162,93,,814,684,0.339,0.441,0.27,Yes,4.0
TBD,Tampa Bay Devil Rays,AL,2001,162,62,,672,887,0.32,0.388,0.258,No,
TEX,Texas Rangers,AL,2001,162,73,,890,968,0.344,0.471,0.275,No,
TOR,Toronto Blue Jays,AL,2001,162,80,,767,753,0.325,0.43,0.263,No,
ANA,Anaheim Angels,AL,2000,162,82,,864,869,0.352,0.472,0.28,No,
ARI,Arizona Diamondbacks,NL,2000,162,85,,792,754,0.333,0.429,0.265,No,
ATL,Atlanta Braves,NL,2000,162,95,,810,714,0.346,0.429,0.271,Yes,4.0
BAL,Baltimore Orioles,AL,2000,162,74,,794,913,0.341,0.435,0.272,No,
BOS,Boston Red Sox,AL,2000,162,85,,792,745,0.341,0.423,0.267,No,
CHC,Chicago Cubs,NL,2000,162,65,,764,904,0.335,0.411,0.256,No,
CHW,Chicago White Sox,AL,2000,162,95,,978,839,0.356,0.47,0.286,Yes,4.0
CIN,Cincinnati Reds,NL,2000,163,85,,825,765,0.343,0.447,0.274,No,
CLE,Cleveland Indians,AL,2000,162,90,,950,816,0.367,0.47,0.288,No,
COL,Colorado Rockies,NL,2000,162,82,,968,897,0.362,0.455,0.294,No,
DET,Detroit Tigers,AL,2000,162,79,,823,827,0.343,0.438,0.275,No,
FLA,Florida Marlins,NL,2000,161,79,,731,797,0.331,0.409,0.262,No,
HOU,Houston Astros,NL,2000,162,72,,938,944,0.361,0.477,0.278,No,
KCR,Kansas City Royals,AL,2000,162,77,,879,930,0.348,0.425,0.288,No,
LAD,Los Angeles Dodgers,NL,2000,162,86,,798,729,0.341,0.431,0.257,No,
MIL,Milwaukee Brewers,NL,2000,163,73,,740,826,0.325,0.403,0.246,No,
MIN,Minnesota Twins,AL,2000,162,69,,748,880,0.337,0.407,0.27,No,
MON,Montreal Expos,NL,2000,162,67,,738,902,0.326,0.432,0.266,No,
NYM,New York Mets,NL,2000,162,94,,807,738,0.346,0.43,0.263,Yes,2.0
NYY,New York Yankees,AL,2000,161,87,,871,814,0.354,0.45,0.277,Yes,1.0
OAK,Oakland Athletics,AL,2000,161,91,,947,813,0.36,0.458,0.27,Yes,4.0
PHI,Philadelphia Phillies,NL,2000,162,65,,708,830,0.329,0.4,0.251,No,
PIT,Pittsburgh Pirates,NL,2000,162,69,,793,888,0.339,0.424,0.267,No,
SDP,San Diego Padres,NL,2000,162,76,,752,815,0.33,0.402,0.254,No,
SEA,Seattle Mariners,AL,2000,162,91,,907,780,0.361,0.442,0.269,Yes,3.0
SFG,San Francisco Giants,NL,2000,162,97,,925,747,0.362,0.472,0.278,Yes,4.0
STL,St. Louis Cardinals,NL,2000,162,95,,887,771,0.356,0.455,0.27,Yes,3.0
TBD,Tampa Bay Devil Rays,AL,2000,161,69,,733,842,0.329,0.399,0.257,No,
TEX,Texas Rangers,AL,2000,162,71,,848,974,0.352,0.446,0.283,No,
TOR,Toronto Blue Jays,AL,2000,162,83,,861,908,0.341,0.469,0.275,No,
ANA,Anaheim Angels,AL,1999,162,70,,711,826,0.322,0.395,0.256,No,
ARI,Arizona Diamondbacks,NL,1999,162,100,,908,676,0.347,0.459,0.277,Yes,4.0
ATL,Atlanta Braves,NL,1999,162,103,,840,661,0.341,0.436,0.266,Yes,2.0
BAL,Baltimore Orioles,AL,1999,162,78,,851,815,0.353,0.447,0.279,No,
BOS,Boston Red Sox,AL,1999,162,94,,836,718,0.35,0.448,0.278,Yes,3.0
CHC,Chicago Cubs,NL,1999,162,67,,747,920,0.329,0.42,0.257,No,
CHW,Chicago White Sox,AL,1999,162,75,,777,870,0.337,0.429,0.277,No,
CIN,Cincinnati Reds,NL,1999,163,96,,865,711,0.341,0.451,0.272,No,
CLE,Cleveland Indians,AL,1999,162,97,,1009,860,0.373,0.467,0.289,Yes,4.0
COL,Colorado Rockies,NL,1999,162,72,,906,1028,0.348,0.472,0.288,No,
DET,Detroit Tigers,AL,1999,161,69,,747,882,0.326,0.443,0.261,No,
FLA,Florida Marlins,NL,1999,162,64,,691,852,0.325,0.395,0.263,No,
HOU,Houston Astros,NL,1999,162,97,,823,675,0.355,0.42,0.267,Yes,4.0
KCR,Kansas City Royals,AL,1999,161,64,,856,921,0.348,0.433,0.282,No,
LAD,Los Angeles Dodgers,NL,1999,162,77,,793,787,0.339,0.42,0.266,No,
MIL,Milwaukee Brewers,NL,1999,161,74,,815,886,0.353,0.426,0.273,No,
MIN,Minnesota Twins,AL,1999,161,63,,686,845,0.328,0.384,0.264,No,
MON,Montreal Expos,NL,1999,162,68,,718,853,0.323,0.427,0.265,No,
NYM,New York Mets,NL,1999,163,97,,853,711,0.363,0.434,0.279,Yes,3.0
NYY,New York Yankees,AL,1999,162,98,,900,731,0.366,0.453,0.282,Yes,1.0
OAK,Oakland Athletics,AL,1999,162,87,,893,846,0.355,0.446,0.259,No,
PHI,Philadelphia Phillies,NL,1999,162,77,,841,846,0.351,0.431,0.275,No,
PIT,Pittsburgh Pirates,NL,1999,161,78,,775,782,0.334,0.419,0.259,No,
SDP,San Diego Padres,NL,1999,162,74,,710,781,0.332,0.393,0.252,No,
SEA,Seattle Mariners,AL,1999,162,79,,859,905,0.343,0.455,0.269,No,
SFG,San Francisco Giants,NL,1999,162,86,,872,831,0.356,0.434,0.271,No,
STL,St. Louis Cardinals,NL,1999,161,75,,809,838,0.338,0.426,0.262,No,
TBD,Tampa Bay Devil Rays,AL,1999,162,69,,772,913,0.343,0.411,0.274,No,
TEX,Texas Rangers,AL,1999,162,95,,945,859,0.361,0.479,0.293,Yes,4.0
TOR,Toronto Blue Jays,AL,1999,162,84,,883,862,0.352,0.457,0.28,No,
ANA,Anaheim Angels,AL,1998,162,85,,787,783,0.335,0.415,0.272,No,
ARI,Arizona Diamondbacks,NL,1998,162,65,,665,812,0.314,0.393,0.246,No,
ATL,Atlanta Braves,NL,1998,162,106,,826,581,0.342,0.453,0.272,Yes,3.0
BAL,Baltimore Orioles,AL,1998,162,79,,817,785,0.347,0.447,0.273,No,
BOS,Boston Red Sox,AL,1998,162,92,,876,729,0.348,0.463,0.28,Yes,4.0
CHC,Chicago Cubs,NL,1998,163,90,,831,792,0.337,0.433,0.264,Yes,4.0
CHW,Chicago White Sox,AL,1998,163,80,,861,931,0.339,0.444,0.271,No,
CIN,Cincinnati Reds,NL,1998,162,77,,750,760,0.337,0.402,0.262,No,
CLE,Cleveland Indians,AL,1998,162,89,,850,779,0.347,0.448,0.272,Yes,3.0
COL,Colorado Rockies,NL,1998,162,77,,826,855,0.347,0.461,0.291,No,
DET,Detroit Tigers,AL,1998,162,65,,722,863,0.323,0.415,0.264,No,
FLA,Florida Marlins,NL,1998,162,54,,667,923,0.317,0.373,0.248,No,
HOU,Houston Astros,NL,1998,162,102,,874,620,0.356,0.436,0.28,Yes,4.0
KCR,Kansas City Royals,AL,1998,161,72,,714,899,0.324,0.399,0.263,No,
LAD,Los Angeles Dodgers,NL,1998,162,83,,669,678,0.31,0.387,0.252,No,
MIL,Milwaukee Brewers,NL,1998,162,74,,707,812,0.33,0.396,0.26,No,
MIN,Minnesota Twins,AL,1998,162,70,,734,818,0.328,0.389,0.266,No,
MON,Montreal Expos,NL,1998,162,65,,644,783,0.31,0.394,0.249,No,
NYM,New York Mets,NL,1998,162,88,,706,645,0.33,0.394,0.259,No,
NYY,New York Yankees,AL,1998,162,114,,965,656,0.364,0.46,0.288,Yes,1.0
OAK,Oakland Athletics,AL,1998,162,74,,804,866,0.338,0.397,0.257,No,
PHI,Philadelphia Phillies,NL,1998,162,75,,713,808,0.326,0.395,0.264,No,
PIT,Pittsburgh Pirates,NL,1998,163,69,,650,718,0.311,0.374,0.254,No,
SDP,San Diego Padres,NL,1998,162,98,,749,635,0.33,0.409,0.253,Yes,2.0
SEA,Seattle Mariners,AL,1998,161,76,,859,855,0.345,0.468,0.276,No,
SFG,San Francisco Giants,NL,1998,163,89,,845,739,0.353,0.421,0.274,No,
STL,St. Louis Cardinals,NL,1998,163,83,,810,782,0.341,0.441,0.258,No,
TBD,Tampa Bay Devil Rays,AL,1998,162,63,,620,751,0.321,0.385,0.261,No,
TEX,Texas Rangers,AL,1998,162,88,,940,871,0.357,0.462,0.289,Yes,4.0
TOR,Toronto Blue Jays,AL,1998,163,88,,816,768,0.34,0.448,0.266,No,
ANA,Anaheim Angels,AL,1997,162,84,,829,794,0.346,0.416,0.272,No,
ATL,Atlanta Braves,NL,1997,162,101,,791,581,0.343,0.426,0.27,Yes,3.0
BAL,Baltimore Orioles,AL,1997,162,98,,812,681,0.341,0.429,0.268,Yes,3.0
BOS,Boston Red Sox,AL,1997,162,78,,851,857,0.352,0.463,0.291,No,
CHC,Chicago Cubs,NL,1997,162,68,,687,759,0.321,0.396,0.263,No,
CHW,Chicago White Sox,AL,1997,161,80,,779,833,0.341,0.417,0.273,No,
CIN,Cincinnati Reds,NL,1997,162,76,,651,764,0.321,0.389,0.253,No,
CLE,Cleveland Indians,AL,1997,161,86,,868,815,0.358,0.467,0.286,Yes,2.0
COL,Colorado Rockies,NL,1997,162,83,,923,908,0.357,0.478,0.288,No,
DET,Detroit Tigers,AL,1997,162,79,,784,790,0.332,0.415,0.258,No,
FLA,Florida Marlins,NL,1997,162,92,,740,669,0.346,0.395,0.259,Yes,1.0
HOU,Houston Astros,NL,1997,162,84,,777,660,0.344,0.403,0.259,Yes,4.0
KCR,Kansas City Royals,AL,1997,161,67,,747,820,0.333,0.407,0.264,No,
LAD,Los Angeles Dodgers,NL,1997,162,88,,742,645,0.33,0.418,0.268,No,
MIL,Milwaukee Brewers,AL,1997,161,78,,681,742,0.325,0.398,0.26,No,
MIN,Minnesota Twins,AL,1997,162,68,,772,861,0.333,0.409,0.27,No,
MON,Montreal Expos,NL,1997,162,78,,691,740,0.316,0.425,0.258,No,
NYM,New York Mets,NL,1997,162,88,,777,709,0.332,0.405,0.262,No,
NYY,New York Yankees,AL,1997,162,96,,891,688,0.362,0.436,0.287,Yes,4.0
OAK,Oakland Athletics,AL,1997,162,65,,764,946,0.339,0.423,0.26,No,
PHI,Philadelphia Phillies,NL,1997,162,68,,668,840,0.322,0.385,0.255,No,
PIT,Pittsburgh Pirates,NL,1997,162,79,,725,760,0.329,0.404,0.262,No,
SDP,San Diego Padres,NL,1997,162,76,,795,891,0.342,0.407,0.271,No,
SEA,Seattle Mariners,AL,1997,162,90,,925,833,0.355,0.485,0.28,Yes,4.0
SFG,San Francisco Giants,NL,1997,162,90,,784,793,0.337,0.414,0.258,Yes,4.0
STL,St. Louis Cardinals,NL,1997,162,73,,689,708,0.324,0.396,0.255,No,
TEX,Texas Rangers,AL,1997,162,77,,807,823,0.334,0.438,0.274,No,
TOR,Toronto Blue Jays,AL,1997,162,76,,654,694,0.31,0.389,0.244,No,
ATL,Atlanta Braves,NL,1996,162,96,,773,648,0.333,0.432,0.27,Yes,2.0
BAL,Baltimore Orioles,AL,1996,163,88,,949,903,0.35,0.472,0.274,Yes,3.0
BOS,Boston Red Sox,AL,1996,162,85,,928,921,0.359,0.457,0.283,No,
CAL,California Angels,AL,1996,161,70,,762,943,0.339,0.431,0.276,No,
CHC,Chicago Cubs,NL,1996,162,76,,772,771,0.32,0.401,0.251,No,
CHW,Chicago White Sox,AL,1996,162,85,,898,794,0.36,0.447,0.281,No,
CIN,Cincinnati Reds,NL,1996,162,81,,778,773,0.331,0.422,0.256,No,
CLE,Cleveland Indians,AL,1996,161,99,,952,769,0.369,0.475,0.293,Yes,4.0
COL,Colorado Rockies,NL,1996,162,83,,961,964,0.355,0.472,0.287,No,
DET,Detroit Tigers,AL,1996,162,53,,783,1103,0.323,0.42,0.256,No,
FLA,Florida Marlins,NL,1996,162,80,,688,703,0.329,0.393,0.257,No,
HOU,Houston Astros,NL,1996,162,82,,753,792,0.336,0.397,0.262,No,
KCR,Kansas City Royals,AL,1996,161,75,,746,786,0.332,0.398,0.267,No,
LAD,Los Angeles Dodgers,NL,1996,162,90,,703,652,0.316,0.384,0.252,Yes,4.0
MIL,Milwaukee Brewers,AL,1996,162,80,,894,899,0.353,0.441,0.279,No,
MIN,Minnesota Twins,AL,1996,162,78,,877,900,0.357,0.425,0.288,No,
MON,Montreal Expos,NL,1996,162,88,,741,668,0.327,0.406,0.262,No,
NYM,New York Mets,NL,1996,162,71,,746,779,0.324,0.412,0.27,No,
NYY,New York Yankees,AL,1996,162,92,,871,787,0.36,0.436,0.288,Yes,1.0
OAK,Oakland Athletics,AL,1996,162,78,,861,900,0.344,0.452,0.265,No,
PHI,Philadelphia Phillies,NL,1996,162,67,,650,790,0.325,0.387,0.256,No,
PIT,Pittsburgh Pirates,NL,1996,162,73,,776,833,0.329,0.407,0.266,No,
SDP,San Diego Padres,NL,1996,162,91,,771,682,0.338,0.402,0.265,Yes,4.0
SEA,Seattle Mariners,AL,1996,161,85,,993,895,0.366,0.484,0.287,No,
SFG,San Francisco Giants,NL,1996,162,68,,752,862,0.331,0.388,0.253,No,
STL,St. Louis Cardinals,NL,1996,162,88,,759,706,0.33,0.407,0.267,Yes,3.0
TEX,Texas Rangers,AL,1996,163,90,,928,799,0.358,0.469,0.284,Yes,4.0
TOR,Toronto Blue Jays,AL,1996,162,74,,766,809,0.331,0.42,0.259,No,
ATL,Atlanta Braves,NL,1993,162,104,,767,559,0.331,0.408,0.262,Yes,3.0
BAL,Baltimore Orioles,AL,1993,162,85,,786,745,0.346,0.413,0.267,No,
BOS,Boston Red Sox,AL,1993,162,80,,686,698,0.33,0.395,0.264,No,
CAL,California Angels,AL,1993,162,71,,684,770,0.331,0.38,0.26,No,
CHC,Chicago Cubs,NL,1993,163,84,,738,739,0.325,0.414,0.27,No,
CHW,Chicago White Sox,AL,1993,162,94,,776,664,0.338,0.411,0.265,Yes,3.0
CIN,Cincinnati Reds,NL,1993,162,73,,722,785,0.324,0.396,0.264,No,
CLE,Cleveland Indians,AL,1993,162,76,,790,813,0.335,0.409,0.275,No,
COL,Colorado Rockies,NL,1993,162,67,,758,967,0.323,0.422,0.273,No,
DET,Detroit Tigers,AL,1993,162,85,,899,837,0.362,0.434,0.275,No,
FLA,Florida Marlins,NL,1993,162,64,,581,724,0.314,0.346,0.248,No,
HOU,Houston Astros,NL,1993,162,85,,716,630,0.33,0.409,0.267,No,
KCR,Kansas City Royals,AL,1993,162,84,,675,694,0.32,0.397,0.263,No,
LAD,Los Angeles Dodgers,NL,1993,162,81,,675,662,0.321,0.383,0.261,No,
MIL,Milwaukee Brewers,AL,1993,162,69,,733,792,0.328,0.378,0.258,No,
MIN,Minnesota Twins,AL,1993,162,71,,693,830,0.327,0.385,0.264,No,
MON,Montreal Expos,NL,1993,163,94,,732,682,0.326,0.386,0.257,No,
NYM,New York Mets,NL,1993,162,59,,672,744,0.305,0.39,0.248,No,
NYY,New York Yankees,AL,1993,162,88,,821,761,0.353,0.435,0.279,No,
OAK,Oakland Athletics,AL,1993,162,68,,715,846,0.33,0.394,0.254,No,
PHI,Philadelphia Phillies,NL,1993,162,97,,877,740,0.351,0.426,0.274,Yes,2.0
PIT,Pittsburgh Pirates,NL,1993,162,75,,707,806,0.335,0.393,0.267,No,
SDP,San Diego Padres,NL,1993,162,61,,679,772,0.312,0.389,0.252,No,
SEA,Seattle Mariners,AL,1993,162,82,,734,731,0.339,0.406,0.26,No,
SFG,San Francisco Giants,NL,1993,162,103,,808,636,0.34,0.427,0.276,No,
STL,St. Louis Cardinals,NL,1993,162,87,,758,744,0.341,0.395,0.272,No,
TEX,Texas Rangers,AL,1993,162,86,,835,751,0.329,0.431,0.267,No,
TOR,Toronto Blue Jays,AL,1993,162,95,,847,742,0.35,0.436,0.279,Yes,1.0
ATL,Atlanta Braves,NL,1992,162,98,,682,569,0.316,0.388,0.254,Yes,2.0
BAL,Baltimore Orioles,AL,1992,162,89,,705,656,0.34,0.398,0.259,No,
BOS,Boston Red Sox,AL,1992,162,73,,599,669,0.321,0.347,0.246,No,
CAL,California Angels,AL,1992,162,72,,579,671,0.301,0.338,0.243,No,
CHC,Chicago Cubs,NL,1992,162,78,,593,624,0.307,0.364,0.254,No,
CHW,Chicago White Sox,AL,1992,162,86,,738,690,0.336,0.383,0.261,No,
CIN,Cincinnati Reds,NL,1992,162,90,,660,609,0.328,0.382,0.26,No,
CLE,Cleveland Indians,AL,1992,162,76,,674,746,0.323,0.383,0.266,No,
DET,Detroit Tigers,AL,1992,162,75,,791,794,0.337,0.407,0.256,No,
HOU,Houston Astros,NL,1992,162,81,,608,668,0.313,0.359,0.246,No,
KCR,Kansas City Royals,AL,1992,162,72,,610,667,0.315,0.364,0.256,No,
LAD,Los Angeles Dodgers,NL,1992,162,63,,548,636,0.313,0.339,0.248,No,
MIL,Milwaukee Brewers,AL,1992,162,92,,740,604,0.33,0.375,0.268,No,
MIN,Minnesota Twins,AL,1992,162,90,,747,653,0.341,0.391,0.277,No,
MON,Montreal Expos,NL,1992,162,87,,648,581,0.313,0.37,0.252,No,
NYM,New York Mets,NL,1992,162,72,,599,653,0.31,0.342,0.235,No,
NYY,New York Yankees,AL,1992,162,76,,733,746,0.328,0.406,0.261,No,
OAK,Oakland Athletics,AL,1992,162,96,,745,672,0.346,0.386,0.258,Yes,3.0
PHI,Philadelphia Phillies,NL,1992,162,70,,686,717,0.32,0.377,0.253,No,
PIT,Pittsburgh Pirates,NL,1992,162,96,,693,595,0.324,0.381,0.255,Yes,3.0
SDP,San Diego Padres,NL,1992,162,82,,617,636,0.313,0.386,0.255,No,
SEA,Seattle Mariners,AL,1992,162,64,,679,799,0.323,0.402,0.263,No,
SFG,San Francisco Giants,NL,1992,162,72,,574,647,0.302,0.355,0.244,No,
STL,St. Louis Cardinals,NL,1992,162,83,,631,604,0.323,0.375,0.262,No,
TEX,Texas Rangers,AL,1992,162,77,,682,753,0.321,0.393,0.25,No,
TOR,Toronto Blue Jays,AL,1992,162,96,,780,682,0.333,0.414,0.263,Yes,1.0
ATL,Atlanta Braves,NL,1991,162,94,,749,644,0.328,0.393,0.258,Yes,2.0
BAL,Baltimore Orioles,AL,1991,162,67,,686,796,0.319,0.401,0.254,No,
BOS,Boston Red Sox,AL,1991,162,84,,731,712,0.34,0.401,0.269,No,
CAL,California Angels,AL,1991,162,81,,653,649,0.314,0.374,0.255,No,
CHC,Chicago Cubs,NL,1991,160,77,,695,734,0.309,0.39,0.253,No,
CHW,Chicago White Sox,AL,1991,162,87,,758,681,0.336,0.391,0.262,No,
CIN,Cincinnati Reds,NL,1991,162,74,,689,691,0.32,0.403,0.258,No,
CLE,Cleveland Indians,AL,1991,162,57,,576,759,0.313,0.35,0.254,No,
DET,Detroit Tigers,AL,1991,162,84,,817,794,0.333,0.416,0.247,No,
HOU,Houston Astros,NL,1991,162,65,,605,717,0.309,0.347,0.244,No,
KCR,Kansas City Royals,AL,1991,162,82,,727,722,0.328,0.394,0.264,No,
LAD,Los Angeles Dodgers,NL,1991,162,93,,665,565,0.326,0.359,0.253,No,
MIL,Milwaukee Brewers,AL,1991,162,83,,799,744,0.336,0.396,0.271,No,
MIN,Minnesota Twins,AL,1991,162,95,,776,652,0.344,0.42,0.28,Yes,1.0
MON,Montreal Expos,NL,1991,161,71,,579,655,0.308,0.357,0.246,No,
NYM,New York Mets,NL,1991,161,77,,640,646,0.317,0.365,0.244,No,
NYY,New York Yankees,AL,1991,162,71,,674,777,0.316,0.387,0.256,No,
OAK,Oakland Athletics,AL,1991,162,84,,760,776,0.331,0.389,0.248,No,
PHI,Philadelphia Phillies,NL,1991,162,78,,629,680,0.303,0.358,0.241,No,
PIT,Pittsburgh Pirates,NL,1991,162,98,,768,632,0.338,0.398,0.263,Yes,3.0
SDP,San Diego Padres,NL,1991,162,84,,636,646,0.31,0.362,0.244,No,
SEA,Seattle Mariners,AL,1991,162,83,,702,674,0.328,0.383,0.255,No,
SFG,San Francisco Giants,NL,1991,162,75,,649,697,0.309,0.381,0.246,No,
STL,St. Louis Cardinals,NL,1991,162,84,,651,648,0.322,0.357,0.255,No,
TEX,Texas Rangers,AL,1991,162,85,,829,814,0.341,0.424,0.27,No,
TOR,Toronto Blue Jays,AL,1991,162,91,,684,622,0.322,0.4,0.257,Yes,3.0
ATL,Atlanta Braves,NL,1990,162,65,,682,821,0.311,0.396,0.25,No,
BAL,Baltimore Orioles,AL,1990,161,76,,669,698,0.33,0.37,0.245,No,
BOS,Boston Red Sox,AL,1990,162,88,,699,664,0.344,0.395,0.272,Yes,3.0
CAL,California Angels,AL,1990,162,80,,690,706,0.329,0.391,0.26,No,
CHC,Chicago Cubs,NL,1990,162,77,,690,774,0.314,0.392,0.263,No,
CHW,Chicago White Sox,AL,1990,162,94,,682,633,0.32,0.379,0.258,No,
CIN,Cincinnati Reds,NL,1990,162,91,,693,597,0.325,0.399,0.265,Yes,1.0
CLE,Cleveland Indians,AL,1990,162,77,,732,737,0.324,0.391,0.267,No,
DET,Detroit Tigers,AL,1990,162,79,,750,754,0.337,0.409,0.259,No,
HOU,Houston Astros,NL,1990,162,75,,573,656,0.313,0.345,0.242,No,
KCR,Kansas City Royals,AL,1990,161,75,,707,709,0.328,0.395,0.267,No,
LAD,Los Angeles Dodgers,NL,1990,162,86,,728,685,0.328,0.382,0.262,No,
MIL,Milwaukee Brewers,AL,1990,162,74,,732,760,0.32,0.384,0.256,No,
MIN,Minnesota Twins,AL,1990,162,74,,666,729,0.324,0.385,0.265,No,
MON,Montreal Expos,NL,1990,162,85,,662,598,0.322,0.37,0.25,No,
NYM,New York Mets,NL,1990,162,91,,775,613,0.323,0.408,0.256,No,
NYY,New York Yankees,AL,1990,162,67,,603,749,0.3,0.366,0.241,No,
OAK,Oakland Athletics,AL,1990,162,103,,733,570,0.336,0.391,0.254,Yes,2.0
PHI,Philadelphia Phillies,NL,1990,162,77,,646,729,0.327,0.363,0.255,No,
PIT,Pittsburgh Pirates,NL,1990,162,95,,733,619,0.33,0.405,0.259,Yes,3.0
SDP,San Diego Padres,NL,1990,162,75,,673,673,0.32,0.38,0.257,No,
SEA,Seattle Mariners,AL,1990,162,77,,640,680,0.333,0.373,0.259,No,
SFG,San Francisco Giants,NL,1990,162,85,,719,710,0.323,0.396,0.262,No,
STL,St. Louis Cardinals,NL,1990,162,70,,599,698,0.32,0.358,0.256,No,
TEX,Texas Rangers,AL,1990,162,83,,676,696,0.331,0.376,0.259,No,
TOR,Toronto Blue Jays,AL,1990,162,86,,767,661,0.328,0.419,0.265,No,
ATL,Atlanta Braves,NL,1989,161,63,,584,680,0.298,0.35,0.234,No,
BAL,Baltimore Orioles,AL,1989,162,87,,708,686,0.326,0.379,0.252,No,
BOS,Boston Red Sox,AL,1989,162,83,,774,735,0.351,0.403,0.277,No,
CAL,California Angels,AL,1989,162,91,,669,578,0.311,0.386,0.256,No,
CHC,Chicago Cubs,NL,1989,162,93,,702,623,0.319,0.387,0.261,Yes,3.0
CHW,Chicago White Sox,AL,1989,161,69,,693,750,0.328,0.383,0.271,No,
CIN,Cincinnati Reds,NL,1989,162,75,,632,691,0.309,0.37,0.247,No,
CLE,Cleveland Indians,AL,1989,162,73,,604,654,0.31,0.365,0.245,No,
DET,Detroit Tigers,AL,1989,162,59,,617,816,0.318,0.351,0.242,No,
HOU,Houston Astros,NL,1989,162,86,,647,669,0.306,0.345,0.239,No,
KCR,Kansas City Royals,AL,1989,162,92,,690,635,0.329,0.373,0.261,No,
LAD,Los Angeles Dodgers,NL,1989,160,77,,554,536,0.306,0.339,0.24,No,
MIL,Milwaukee Brewers,AL,1989,162,81,,707,679,0.318,0.382,0.259,No,
