Team,Team Name,League,Year,Games,Wins,Home Runs,RS,RA,OBP,SLG,BA,Playoffs,PlayoffsFinish,Total Home Attendance,Attendance Bin
CHC,Chicago Cubs,NL,2004,162,89,235,789,665,0.328,0.458,0.268,No,,3170154,>3M
CHW,Chicago White Sox,AL,2004,162,83,242,865,831,0.333,0.457,0.268,No,,1930537,1.5M–2M
CIN,Cincinnati Reds,NL,2004,162,76,194,750,907,0.331,0.418,0.25,No,,2287250,2M–2.5M
CLE,Cleveland Indians,AL,2004,162,80,184,858,857,0.351,0.444,0.276,No,,1814401,1.5M–2M
COL,Colorado Rockies,NL,2004,162,68,202,833,923,0.345,0.455,0.275,No,,2338069,2M–2.5M
DET,Detroit Tigers,AL,2004,162,72,201,827,844,0.337,0.449,0.272,No,,1917004,1.5M–2M
FLA,Florida Marlins,NL,2004,162,83,148,718,700,0.329,0.406,0.264,No,,1723105,1.5M–2M
HOU,Houston Astros,NL,2004,162,92,187,803,698,0.342,0.436,0.267,Yes,3.0,3087872,>3M
KCR,Kansas City Royals,AL,2004,162,58,150,720,905,0.322,0.397,0.259,No,,1661478,1.5M–2M
LAD,Los Angeles Dodgers,NL,2004,162,93,203,761,684,0.332,0.423,0.262,Yes,4.0,3488283,>3M
MIL,Milwaukee Brewers,NL,2004,161,67,135,634,757,0.321,0.387,0.248,No,,2062382,2M–2.5M
MIN,Minnesota Twins,AL,2004,162,92,191,780,715,0.332,0.431,0.266,Yes,4.0,1911490,1.5M–2M
MON,Montreal Expos,NL,2004,162,67,151,635,769,0.313,0.392,0.249,No,,748550,<1.5M
NYM,New York Mets,NL,2004,162,71,185,684,731,0.317,0.409,0.249,No,,2318321,2M–2.5M
NYY,New York Yankees,AL,2004,162,101,242,897,808,0.353,0.458,0.268,Yes,3.0,3775292,>3M
OAK,Oakland Athletics,AL,2004,162,91,189,793,742,0.343,0.433,0.27,No,,2201516,2M–2.5M
PHI,Philadelphia Phillies,NL,2004,162,86,215,840,781,0.345,0.443,0.267,No,,3250092,>3M
PIT,Pittsburgh Pirates,NL,2004,161,72,142,680,744,0.321,0.401,0.26,No,,1583031,1.5M–2M
SDP,San Diego Padres,NL,2004,162,87,139,768,705,0.342,0.414,0.273,No,,3016752,>3M
SEA,Seattle Mariners,AL,2004,162,63,136,698,823,0.331,0.396,0.27,No,,2940731,2.5M–3M
SFG,San Francisco Giants,NL,2004,162,91,183,850,770,0.357,0.438,0.27,No,,3256854,>3M
STL,St. Louis Cardinals,NL,2004,162,105,214,855,659,0.344,0.46,0.278,Yes,2.0,3048427,>3M
TBD,Tampa Bay Devil Rays,AL,2004,161,70,145,714,842,0.32,0.405,0.258,No,,1274911,<1.5M
TEX,Texas Rangers,AL,2004,162,89,227,860,794,0.329,0.457,0.266,No,,2513685,2.5M–3M
TOR,Toronto Blue Jays,AL,2004,161,67,145,719,823,0.328,0.403,0.26,No,,1900041,1.5M–2M
ANA,Anaheim Angels,AL,2003,162,77,150,736,743,0.33,0.413,0.268,No,,3061094,>3M
ARI,Arizona Diamondbacks,NL,2003,162,84,152,717,685,0.33,0.417,0.263,No,,2805542,2.5M–3M
ATL,Atlanta Braves,NL,2003,162,101,235,907,740,0.349,0.475,0.284,Yes,4.0,2401084,2M–2.5M
BAL,Baltimore Orioles,AL,2003,163,71,152,743,820,0.323,0.405,0.268,No,,2454523,2M–2.5M
BOS,Boston Red Sox,AL,2003,162,95,238,961,809,0.36,0.491,0.289,Yes,3.0,2724165,2.5M–3M
CHC,Chicago Cubs,NL,2003,162,88,172,724,683,0.323,0.416,0.259,Yes,3.0,2962630,2.5M–3M
CHW,Chicago White Sox,AL,2003,162,86,220,791,715,0.331,0.446,0.263,No,,1939594,1.5M–2M
CIN,Cincinnati Reds,NL,2003,162,69,182,694,886,0.318,0.395,0.245,No,,2355259,2M–2.5M
CLE,Cleveland Indians,AL,2003,162,68,158,699,778,0.316,0.401,0.254,No,,1727001,1.5M–2M
COL,Colorado Rockies,NL,2003,162,74,198,853,892,0.344,0.445,0.267,No,,2334175,2M–2.5M
DET,Detroit Tigers,AL,2003,162,43,153,591,928,0.3,0.375,0.24,No,,1368245,<1.5M
FLA,Florida Marlins,NL,2003,162,91,157,751,692,0.333,0.421,0.266,Yes,1.0,1303214,<1.5M
HOU,Houston Astros,NL,2003,162,87,191,805,677,0.336,0.431,0.263,No,,2455241,2M–2.5M
KCR,Kansas City Royals,AL,2003,162,83,162,836,867,0.336,0.427,0.274,No,,1779895,1.5M–2M
LAD,Los Angeles Dodgers,NL,2003,162,85,124,574,556,0.303,0.368,0.243,No,,3138696,>3M
MIL,Milwaukee Brewers,NL,2003,162,68,196,714,873,0.329,0.419,0.256,No,,1700354,1.5M–2M
MIN,Minnesota Twins,AL,2003,162,90,155,801,758,0.341,0.431,0.277,Yes,4.0,1946011,1.5M–2M
MON,Montreal Expos,NL,2003,162,83,144,711,716,0.326,0.401,0.258,No,,1025639,<1.5M
NYM,New York Mets,NL,2003,161,66,124,642,754,0.314,0.374,0.247,No,,2168832,2M–2.5M
NYY,New York Yankees,AL,2003,163,101,230,877,716,0.356,0.453,0.271,Yes,2.0,3460600,>3M
OAK,Oakland Athletics,AL,2003,162,96,176,768,643,0.327,0.417,0.254,Yes,4.0,2216596,2M–2.5M
PHI,Philadelphia Phillies,NL,2003,162,86,166,791,697,0.343,0.419,0.261,No,,2259948,2M–2.5M
PIT,Pittsburgh Pirates,NL,2003,162,75,163,753,801,0.338,0.42,0.267,No,,1636751,1.5M–2M
SDP,San Diego Padres,NL,2003,162,64,128,678,831,0.333,0.388,0.261,No,,2030084,2M–2.5M
SEA,Seattle Mariners,AL,2003,162,93,139,795,637,0.344,0.41,0.271,No,,3267509,>3M
SFG,San Francisco Giants,NL,2003,161,100,180,755,638,0.338,0.425,0.264,Yes,4.0,3264898,>3M
STL,St. Louis Cardinals,NL,2003,162,85,196,876,796,0.35,0.454,0.279,No,,2910386,2.5M–3M
TBD,Tampa Bay Devil Rays,AL,2003,162,63,137,715,852,0.32,0.404,0.265,No,,1058695,<1.5M
TEX,Texas Rangers,AL,2003,162,71,239,826,969,0.33,0.454,0.266,No,,2094394,2M–2.5M
TOR,Toronto Blue Jays,AL,2003,162,86,190,894,826,0.349,0.455,0.279,No,,1799818,1.5M–2M
ANA,Anaheim Angels,AL,2002,162,99,152,851,644,0.341,0.433,0.282,Yes,1.0,2305467,2M–2.5M
ARI,Arizona Diamondbacks,NL,2002,162,98,165,819,674,0.346,0.423,0.267,Yes,4.0,3198975,>3M
ATL,Atlanta Braves,NL,2002,161,101,164,708,565,0.331,0.409,0.26,Yes,4.0,2603484,2.5M–3M
BAL,Baltimore Orioles,AL,2002,162,67,165,667,773,0.309,0.403,0.246,No,,2681439,2.5M–3M
BOS,Boston Red Sox,AL,2002,162,93,177,859,665,0.345,0.444,0.277,No,,2650859,2.5M–3M
CHC,Chicago Cubs,NL,2002,162,67,200,706,759,0.321,0.413,0.246,No,,2694946,2.5M–3M
CHW,Chicago White Sox,AL,2002,162,81,217,856,798,0.338,0.449,0.268,No,,1675591,1.5M–2M
CIN,Cincinnati Reds,NL,2002,162,78,169,709,774,0.33,0.408,0.253,No,,1855775,1.5M–2M
CLE,Cleveland Indians,AL,2002,162,74,192,739,837,0.321,0.412,0.249,No,,2621940,2.5M–3M
COL,Colorado Rockies,NL,2002,162,73,152,778,898,0.337,0.423,0.274,No,,2740614,2.5M–3M
DET,Detroit Tigers,AL,2002,161,55,124,575,864,0.3,0.379,0.248,No,,1503353,1.5M–2M
FLA,Florida Marlins,NL,2002,162,79,146,699,763,0.337,0.403,0.261,No,,813127,<1.5M
HOU,Houston Astros,NL,2002,162,84,167,749,695,0.338,0.417,0.262,No,,2512357,2.5M–3M
KCR,Kansas City Royals,AL,2002,162,62,140,737,891,0.323,0.398,0.256,No,,1323036,<1.5M
LAD,Los Angeles Dodgers,NL,2002,162,92,155,713,643,0.32,0.409,0.264,No,,3131255,>3M
MIL,Milwaukee Brewers,NL,2002,162,56,139,627,821,0.32,0.39,0.253,No,,1969153,1.5M–2M
MIN,Minnesota Twins,AL,2002,161,94,167,768,712,0.332,0.437,0.272,Yes,3.0,1924354,1.5M–2M
MON,Montreal Expos,NL,2002,162,83,162,735,718,0.334,0.418,0.261,No,,812537,<1.5M
NYM,New York Mets,NL,2002,161,75,160,690,703,0.322,0.395,0.256,No,,2804838,2.5M–3M
NYY,New York Yankees,AL,2002,161,103,223,897,697,0.354,0.455,0.275,Yes,4.0,3465807,>3M
OAK,Oakland Athletics,AL,2002,162,103,205,800,654,0.339,0.432,0.261,Yes,4.0,2169816,2M–2.5M
PHI,Philadelphia Phillies,NL,2002,161,80,165,710,724,0.339,0.422,0.259,No,,1618467,1.5M–2M
PIT,Pittsburgh Pirates,NL,2002,161,72,142,641,730,0.319,0.381,0.244,No,,1784970,1.5M–2M
SDP,San Diego Padres,NL,2002,162,66,136,662,815,0.321,0.381,0.253,No,,2221230,2M–2.5M
SEA,Seattle Mariners,AL,2002,162,93,152,814,699,0.35,0.419,0.275,No,,3539938,>3M
SFG,San Francisco Giants,NL,2002,162,95,198,783,616,0.344,0.442,0.267,Yes,2.0,3253203,>3M
STL,St. Louis Cardinals,NL,2002,162,97,175,787,648,0.338,0.425,0.268,Yes,3.0,3011756,>3M
TBD,Tampa Bay Devil Rays,AL,2002,161,55,133,673,918,0.314,0.39,0.253,No,,1065742,<1.5M
TEX,Texas Rangers,AL,2002,162,72,230,843,882,0.338,0.455,0.269,No,,2352397,2M–2.5M
TOR,Toronto Blue Jays,AL,2002,162,78,187,813,828,0.327,0.43,0.261,No,,1638170,1.5M–2M
ANA,Anaheim Angels,AL,2001,162,75,158,691,730,0.327,0.405,0.261,No,,1998319,1.5M–2M
ARI,Arizona Diamondbacks,NL,2001,162,92,208,818,677,0.341,0.442,0.267,Yes,1.0,2735821,2.5M–3M
ATL,Atlanta Braves,NL,2001,162,88,174,729,643,0.324,0.412,0.26,Yes,3.0,2823494,2.5M–3M
BAL,Baltimore Orioles,AL,2001,162,63,136,687,829,0.319,0.38,0.248,No,,3094841,>3M
BOS,Boston Red Sox,AL,2001,161,82,198,772,745,0.334,0.439,0.266,No,,2625333,2.5M–3M
CHC,Chicago Cubs,NL,2001,162,88,194,777,701,0.336,0.43,0.261,No,,2779465,2.5M–3M
CHW,Chicago White Sox,AL,2001,162,83,214,798,795,0.334,0.451,0.268,No,,1766172,1.5M–2M
CIN,Cincinnati Reds,NL,2001,162,66,176,735,850,0.324,0.419,0.262,No,,1879757,1.5M–2M
CLE,Cleveland Indians,AL,2001,162,91,212,897,821,0.35,0.458,0.278,Yes,4.0,3182523,>3M
COL,Colorado Rockies,NL,2001,162,73,213,923,906,0.354,0.483,0.292,No,,3168579,>3M
DET,Detroit Tigers,AL,2001,162,66,139,724,876,0.32,0.409,0.26,No,,1920995,1.5M–2M
FLA,Florida Marlins,NL,2001,162,76,166,742,744,0.326,0.423,0.264,No,,1261216,<1.5M
HOU,Houston Astros,NL,2001,162,93,208,847,769,0.347,0.451,0.271,Yes,4.0,2906277,2.5M–3M
KCR,Kansas City Royals,AL,2001,162,65,152,729,858,0.318,0.409,0.266,No,,1536101,1.5M–2M
LAD,Los Angeles Dodgers,NL,2001,162,86,206,758,744,0.323,0.425,0.255,No,,3017143,>3M
MIL,Milwaukee Brewers,NL,2001,162,68,209,740,806,0.319,0.426,0.251,No,,2811040,2.5M–3M
MIN,Minnesota Twins,AL,2001,162,85,164,771,766,0.337,0.433,0.272,No,,1782926,1.5M–2M
MON,Montreal Expos,NL,2001,162,68,131,670,812,0.319,0.396,0.253,No,,642743,<1.5M
NYM,New York Mets,NL,2001,162,82,147,642,713,0.323,0.387,0.249,No,,2658330,2.5M–3M
NYY,New York Yankees,AL,2001,161,95,203,804,713,0.334,0.435,0.267,Yes,2.0,3264847,>3M
OAK,Oakland Athletics,AL,2001,162,102,199,884,645,0.345,0.439,0.264,Yes,4.0,2133477,2M–2.5M
PHI,Philadelphia Phillies,NL,2001,162,86,164,746,719,0.329,0.414,0.26,No,,1792054,1.5M–2M
PIT,Pittsburgh Pirates,NL,2001,162,62,161,657,858,0.313,0.393,0.247,No,,2435868,2M–2.5M
SDP,San Diego Padres,NL,2001,162,79,161,789,812,0.336,0.399,0.252,No,,2378148,2M–2.5M
SEA,Seattle Mariners,AL,2001,162,116,169,927,627,0.36,0.445,0.288,Yes,3.0,3512326,>3M
SFG,San Francisco Giants,NL,2001,162,90,235,799,748,0.342,0.46,0.266,No,,3311000,>3M
STL,St. Louis Cardinals,NL,2001,162,93,199,814,684,0.339,0.441,0.27,Yes,4.0,3109578,>3M
TBD,Tampa Bay Devil Rays,AL,2001,162,62,121,672,887,0.32,0.388,0.258,No,,1227383,<1.5M
TEX,Texas Rangers,AL,2001,162,73,246,890,968,0.344,0.471,0.275,No,,2831111,2.5M–3M
TOR,Toronto Blue Jays,AL,2001,162,80,195,767,753,0.325,0.43,0.263,No,,1915127,1.5M–2M
ANA,Anaheim Angels,AL,2000,162,82,236,864,869,0.352,0.472,0.28,No,,2066982,2M–2.5M
ARI,Arizona Diamondbacks,NL,2000,162,85,179,792,754,0.333,0.429,0.265,No,,2942251,2.5M–3M
ATL,Atlanta Braves,NL,2000,162,95,179,810,714,0.346,0.429,0.271,Yes,4.0,3234304,>3M
BAL,Baltimore Orioles,AL,2000,162,74,184,794,913,0.341,0.435,0.272,No,,3297031,>3M
BOS,Boston Red Sox,AL,2000,162,85,167,792,745,0.341,0.423,0.267,No,,2585895,2.5M–3M
CHC,Chicago Cubs,NL,2000,162,65,183,764,904,0.335,0.411,0.256,No,,2789511,2.5M–3M
CHW,Chicago White Sox,AL,2000,162,95,216,978,839,0.356,0.47,0.286,Yes,4.0,1971446,1.5M–2M
CIN,Cincinnati Reds,NL,2000,163,85,200,825,765,0.343,0.447,0.274,No,,2594132,2.5M–3M
CLE,Cleveland Indians,AL,2000,162,90,221,950,816,0.367,0.47,0.288,No,,3456278,>3M
COL,Colorado Rockies,NL,2000,162,82,161,968,897,0.362,0.455,0.294,No,,3295129,>3M
DET,Detroit Tigers,AL,2000,162,79,177,823,827,0.343,0.438,0.275,No,,2533753,2.5M–3M
FLA,Florida Marlins,NL,2000,161,79,160,731,797,0.331,0.409,0.262,No,,1218326,<1.5M
HOU,Houston Astros,NL,2000,162,72,249,938,944,0.361,0.477,0.278,No,,3056139,>3M
KCR,Kansas City Royals,AL,2000,162,77,150,879,930,0.348,0.425,0.288,No,,1677915,1.5M–2M
LAD,Los Angeles Dodgers,NL,2000,162,86,211,798,729,0.341,0.431,0.257,No,,3011539,>3M
MIL,Milwaukee Brewers,NL,2000,163,73,177,740,826,0.325,0.403,0.246,No,,1573621,1.5M–2M
MIN,Minnesota Twins,AL,2000,162,69,116,748,880,0.337,0.407,0.27,No,,1059415,<1.5M
MON,Montreal Expos,NL,2000,162,67,178,738,902,0.326,0.432,0.266,No,,926272,<1.5M
NYM,New York Mets,NL,2000,162,94,198,807,738,0.346,0.43,0.263,Yes,2.0,2820530,2.5M–3M
NYY,New York Yankees,AL,2000,161,87,205,871,814,0.354,0.45,0.277,Yes,1.0,3227657,>3M
OAK,Oakland Athletics,AL,2000,161,91,239,947,813,0.36,0.458,0.27,Yes,4.0,1728885,1.5M–2M
PHI,Philadelphia Phillies,NL,2000,162,65,144,708,830,0.329,0.4,0.251,No,,1612769,1.5M–2M
PIT,Pittsburgh Pirates,NL,2000,162,69,168,793,888,0.339,0.424,0.267,No,,1748908,1.5M–2M
SDP,San Diego Padres,NL,2000,162,76,157,752,815,0.33,0.402,0.254,No,,2423142,2M–2.5M
SEA,Seattle Mariners,AL,2000,162,91,198,907,780,0.361,0.442,0.269,Yes,3.0,3148317,>3M
SFG,San Francisco Giants,NL,2000,162,97,226,925,747,0.362,0.472,0.278,Yes,4.0,3315330,>3M
STL,St. Louis Cardinals,NL,2000,162,95,235,887,771,0.356,0.455,0.27,Yes,3.0,3336493,>3M
TBD,Tampa Bay Devil Rays,AL,2000,161,69,162,733,842,0.329,0.399,0.257,No,,1549592,1.5M–2M
TEX,Texas Rangers,AL,2000,162,71,173,848,974,0.352,0.446,0.283,No,,2800075,2.5M–3M
TOR,Toronto Blue Jays,AL,2000,162,83,244,861,908,0.341,0.469,0.275,No,,1819919,1.5M–2M
ANA,Anaheim Angels,AL,1999,162,70,158,711,826,0.322,0.395,0.256,No,,2253040,2M–2.5M
ARI,Arizona Diamondbacks,NL,1999,162,100,216,908,676,0.347,0.459,0.277,Yes,4.0,3015948,>3M
ATL,Atlanta Braves,NL,1999,162,103,197,840,661,0.341,0.436,0.266,Yes,2.0,3284901,>3M
BAL,Baltimore Orioles,AL,1999,162,78,203,851,815,0.353,0.447,0.279,No,,3432099,>3M
BOS,Boston Red Sox,AL,1999,162,94,176,836,718,0.35,0.448,0.278,Yes,3.0,2446277,2M–2.5M
CHC,Chicago Cubs,NL,1999,162,67,189,747,920,0.329,0.42,0.257,No,,2813854,2.5M–3M
CHW,Chicago White Sox,AL,1999,162,75,162,777,870,0.337,0.429,0.277,No,,1338851,<1.5M
CIN,Cincinnati Reds,NL,1999,163,96,209,865,711,0.341,0.451,0.272,No,,2061324,2M–2.5M
CLE,Cleveland Indians,AL,1999,162,97,209,1009,860,0.373,0.467,0.289,Yes,4.0,3468436,>3M
COL,Colorado Rockies,NL,1999,162,72,223,906,1028,0.348,0.472,0.288,No,,3481065,>3M
DET,Detroit Tigers,AL,1999,161,69,212,747,882,0.326,0.443,0.261,No,,2026491,2M–2.5M
FLA,Florida Marlins,NL,1999,162,64,128,691,852,0.325,0.395,0.263,No,,1369420,<1.5M
HOU,Houston Astros,NL,1999,162,97,168,823,675,0.355,0.42,0.267,Yes,4.0,2706017,2.5M–3M
KCR,Kansas City Royals,AL,1999,161,64,151,856,921,0.348,0.433,0.282,No,,1501292,1.5M–2M
LAD,Los Angeles Dodgers,NL,1999,162,77,187,793,787,0.339,0.42,0.266,No,,3098990,>3M
MIL,Milwaukee Brewers,NL,1999,161,74,165,815,886,0.353,0.426,0.273,No,,1701790,1.5M–2M
MIN,Minnesota Twins,AL,1999,161,63,105,686,845,0.328,0.384,0.264,No,,1202829,<1.5M
MON,Montreal Expos,NL,1999,162,68,163,718,853,0.323,0.427,0.265,No,,772737,<1.5M
NYM,New York Mets,NL,1999,163,97,181,853,711,0.363,0.434,0.279,Yes,3.0,2726008,2.5M–3M
NYY,New York Yankees,AL,1999,162,98,193,900,731,0.366,0.453,0.282,Yes,1.0,3293259,>3M
OAK,Oakland Athletics,AL,1999,162,87,235,893,846,0.355,0.446,0.259,No,,1434632,<1.5M
PHI,Philadelphia Phillies,NL,1999,162,77,161,841,846,0.351,0.431,0.275,No,,1825337,1.5M–2M
PIT,Pittsburgh Pirates,NL,1999,161,78,171,775,782,0.334,0.419,0.259,No,,1638023,1.5M–2M
SDP,San Diego Padres,NL,1999,162,74,153,710,781,0.332,0.393,0.252,No,,2523538,2.5M–3M
SEA,Seattle Mariners,AL,1999,162,79,244,859,905,0.343,0.455,0.269,No,,2915908,2.5M–3M
SFG,San Francisco Giants,NL,1999,162,86,188,872,831,0.356,0.434,0.271,No,,2078365,2M–2.5M
STL,St. Louis Cardinals,NL,1999,161,75,194,809,838,0.338,0.426,0.262,No,,3235833,>3M
TBD,Tampa Bay Devil Rays,AL,1999,162,69,145,772,913,0.343,0.411,0.274,No,,1562967,1.5M–2M
TEX,Texas Rangers,AL,1999,162,95,230,945,859,0.361,0.479,0.293,Yes,4.0,2774501,2.5M–3M
TOR,Toronto Blue Jays,AL,1999,162,84,212,883,862,0.352,0.457,0.28,No,,2163486,2M–2.5M
ANA,Anaheim Angels,AL,1998,162,85,147,787,783,0.335,0.415,0.272,No,,2519280,2.5M–3M
ARI,Arizona Diamondbacks,NL,1998,162,65,159,665,812,0.314,0.393,0.246,No,,3604237,>3M
ATL,Atlanta Braves,NL,1998,162,106,215,826,581,0.342,0.453,0.272,Yes,3.0,3361350,>3M
BAL,Baltimore Orioles,AL,1998,162,79,214,817,785,0.347,0.447,0.273,No,,3684560,>3M
BOS,Boston Red Sox,AL,1998,162,92,205,876,729,0.348,0.463,0.28,Yes,4.0,2343930,2M–2.5M
CHC,Chicago Cubs,NL,1998,163,90,212,831,792,0.337,0.433,0.264,Yes,4.0,2623000,2.5M–3M
CHW,Chicago White Sox,AL,1998,163,80,198,861,931,0.339,0.444,0.271,No,,1391146,<1.5M
CIN,Cincinnati Reds,NL,1998,162,77,138,750,760,0.337,0.402,0.262,No,,1793676,1.5M–2M
CLE,Cleveland Indians,AL,1998,162,89,198,850,779,0.347,0.448,0.272,Yes,3.0,3467299,>3M
COL,Colorado Rockies,NL,1998,162,77,183,826,855,0.347,0.461,0.291,No,,3791276,>3M
DET,Detroit Tigers,AL,1998,162,65,165,722,863,0.323,0.415,0.264,No,,1409391,<1.5M
FLA,Florida Marlins,NL,1998,162,54,114,667,923,0.317,0.373,0.248,No,,1750395,1.5M–2M
HOU,Houston Astros,NL,1998,162,102,166,874,620,0.356,0.436,0.28,Yes,4.0,2450451,2M–2.5M
KCR,Kansas City Royals,AL,1998,161,72,134,714,899,0.324,0.399,0.263,No,,1494875,<1.5M
LAD,Los Angeles Dodgers,NL,1998,162,83,159,669,678,0.31,0.387,0.252,No,,3089222,>3M
MIL,Milwaukee Brewers,NL,1998,162,74,152,707,812,0.33,0.396,0.26,No,,1811548,1.5M–2M
MIN,Minnesota Twins,AL,1998,162,70,115,734,818,0.328,0.389,0.266,No,,1165980,<1.5M
MON,Montreal Expos,NL,1998,162,65,147,644,783,0.31,0.394,0.249,No,,914909,<1.5M
NYM,New York Mets,NL,1998,162,88,136,706,645,0.33,0.394,0.259,No,,2287942,2M–2.5M
NYY,New York Yankees,AL,1998,162,114,207,965,656,0.364,0.46,0.288,Yes,1.0,2949734,2.5M–3M
OAK,Oakland Athletics,AL,1998,162,74,149,804,866,0.338,0.397,0.257,No,,1232363,<1.5M
PHI,Philadelphia Phillies,NL,1998,162,75,126,713,808,0.326,0.395,0.264,No,,1715702,1.5M–2M
PIT,Pittsburgh Pirates,NL,1998,163,69,107,650,718,0.311,0.374,0.254,No,,1560950,1.5M–2M
SDP,San Diego Padres,NL,1998,162,98,167,749,635,0.33,0.409,0.253,Yes,2.0,2555964,2.5M–3M
SEA,Seattle Mariners,AL,1998,161,76,234,859,855,0.345,0.468,0.276,No,,2651511,2.5M–3M
SFG,San Francisco Giants,NL,1998,163,89,161,845,739,0.353,0.421,0.274,No,,1925634,1.5M–2M
STL,St. Louis Cardinals,NL,1998,163,83,223,810,782,0.341,0.441,0.258,No,,3195651,>3M
TBD,Tampa Bay Devil Rays,AL,1998,162,63,111,620,751,0.321,0.385,0.261,No,,2425759,2M–2.5M
TEX,Texas Rangers,AL,1998,162,88,201,940,871,0.357,0.462,0.289,Yes,4.0,2927409,2.5M–3M
TOR,Toronto Blue Jays,AL,1998,163,88,221,816,768,0.34,0.448,0.266,No,,2454303,2M–2.5M
ANA,Anaheim Angels,AL,1997,162,84,161,829,794,0.346,0.416,0.272,No,,1774702,1.5M–2M
ATL,Atlanta Braves,NL,1997,162,101,174,791,581,0.343,0.426,0.27,Yes,3.0,3447608,>3M
BAL,Baltimore Orioles,AL,1997,162,98,196,812,681,0.341,0.429,0.268,Yes,3.0,3692388,>3M
BOS,Boston Red Sox,AL,1997,162,78,185,851,857,0.352,0.463,0.291,No,,2223602,2M–2.5M
CHC,Chicago Cubs,NL,1997,162,68,127,687,759,0.321,0.396,0.263,No,,2189948,2M–2.5M
CHW,Chicago White Sox,AL,1997,161,80,158,779,833,0.341,0.417,0.273,No,,1865052,1.5M–2M
CIN,Cincinnati Reds,NL,1997,162,76,142,651,764,0.321,0.389,0.253,No,,1790058,1.5M–2M
CLE,Cleveland Indians,AL,1997,161,86,220,868,815,0.358,0.467,0.286,Yes,2.0,3394750,>3M
COL,Colorado Rockies,NL,1997,162,83,239,923,908,0.357,0.478,0.288,No,,3893433,>3M
DET,Detroit Tigers,AL,1997,162,79,176,784,790,0.332,0.415,0.258,No,,1395413,<1.5M
FLA,Florida Marlins,NL,1997,162,92,136,740,669,0.346,0.395,0.259,Yes,1.0,2352567,2M–2.5M
HOU,Houston Astros,NL,1997,162,84,133,777,660,0.344,0.403,0.259,Yes,4.0,2046275,2M–2.5M
KCR,Kansas City Royals,AL,1997,161,67,158,747,820,0.333,0.407,0.264,No,,1526638,1.5M–2M
LAD,Los Angeles Dodgers,NL,1997,162,88,174,742,645,0.33,0.418,0.268,No,,3319320,>3M
MIL,Milwaukee Brewers,AL,1997,161,78,135,681,742,0.325,0.398,0.26,No,,1450029,<1.5M
MIN,Minnesota Twins,AL,1997,162,68,132,772,861,0.333,0.409,0.27,No,,1413064,<1.5M
MON,Montreal Expos,NL,1997,162,78,172,691,740,0.316,0.425,0.258,No,,1507166,1.5M–2M
NYM,New York Mets,NL,1997,162,88,153,777,709,0.332,0.405,0.262,No,,1775201,1.5M–2M
NYY,New York Yankees,AL,1997,162,96,161,891,688,0.362,0.436,0.287,Yes,4.0,2581043,2.5M–3M
OAK,Oakland Athletics,AL,1997,162,65,197,764,946,0.339,0.423,0.26,No,,1260565,<1.5M
PHI,Philadelphia Phillies,NL,1997,162,68,116,668,840,0.322,0.385,0.255,No,,1490542,<1.5M
PIT,Pittsburgh Pirates,NL,1997,162,79,129,725,760,0.329,0.404,0.262,No,,1694633,1.5M–2M
SDP,San Diego Padres,NL,1997,162,76,152,795,891,0.342,0.407,0.271,No,,2089333,2M–2.5M
SEA,Seattle Mariners,AL,1997,162,90,264,925,833,0.355,0.485,0.28,Yes,4.0,3197054,>3M
SFG,San Francisco Giants,NL,1997,162,90,172,784,793,0.337,0.414,0.258,Yes,4.0,1696583,1.5M–2M
STL,St. Louis Cardinals,NL,1997,162,73,144,689,708,0.324,0.396,0.255,No,,2654568,2.5M–3M
TEX,Texas Rangers,AL,1997,162,77,187,807,823,0.334,0.438,0.274,No,,2923590,2.5M–3M
TOR,Toronto Blue Jays,AL,1997,162,76,147,654,694,0.31,0.389,0.244,No,,2589317,2.5M–3M
ATL,Atlanta Braves,NL,1996,162,96,197,773,648,0.333,0.432,0.27,Yes,2.0,2898806,2.5M–3M
BAL,Baltimore Orioles,AL,1996,163,88,257,949,903,0.35,0.472,0.274,Yes,3.0,3654764,>3M
BOS,Boston Red Sox,AL,1996,162,85,209,928,921,0.359,0.457,0.283,No,,2315349,2M–2.5M
CAL,California Angels,AL,1996,161,70,192,762,943,0.339,0.431,0.276,No,,1820183,1.5M–2M
CHC,Chicago Cubs,NL,1996,162,76,175,772,771,0.32,0.401,0.251,No,,2219110,2M–2.5M
CHW,Chicago White Sox,AL,1996,162,85,195,898,794,0.36,0.447,0.281,No,,1666025,1.5M–2M
CIN,Cincinnati Reds,NL,1996,162,81,191,778,773,0.331,0.422,0.256,No,,1871459,1.5M–2M
CLE,Cleveland Indians,AL,1996,161,99,218,952,769,0.369,0.475,0.293,Yes,4.0,3320078,>3M
COL,Colorado Rockies,NL,1996,162,83,221,961,964,0.355,0.472,0.287,No,,3906328,>3M
DET,Detroit Tigers,AL,1996,162,53,204,783,1103,0.323,0.42,0.256,No,,1168610,<1.5M
FLA,Florida Marlins,NL,1996,162,80,150,688,703,0.329,0.393,0.257,No,,1753706,1.5M–2M
HOU,Houston Astros,NL,1996,162,82,129,753,792,0.336,0.397,0.262,No,,1977715,1.5M–2M
KCR,Kansas City Royals,AL,1996,161,75,123,746,786,0.332,0.398,0.267,No,,1436006,<1.5M
LAD,Los Angeles Dodgers,NL,1996,162,90,150,703,652,0.316,0.384,0.252,Yes,4.0,3188454,>3M
